Año,Evaluación,Nivel,Grado,UGEL,Gestión,Area,Característica,Ubigeo,Región,Provincia,Distrito,Centro Poblado,Código Modular,Anexo,Nombre de la IE,Sección,Area Academica,Estudiantes programados,Puntaje Promedio,Secciones evaluadas,Cantidad Previo al inicio,Cantidad En inicio,Cantidad En proceso,Cantidad Satisfactorio
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30102,APURÍMAC,ABANCAY,CHACOCHE,CASINCHIHUA,237545,0,54059,A,Lectura,33,482,1,,5,8,4
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30109,APURÍMAC,ABANCAY,TAMBURCO,MAUCACALLE,237719,0,54076,A,Lectura,9,466,1,,4,2,2
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30109,APURÍMAC,ABANCAY,TAMBURCO,MAUCACALLE,237719,0,54076,A,Matemática,9,408,1,3,1,4,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,SALINAS,237727,0,54077,B,Matemática,46,401,1,6,10,5,2
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,SALINAS,237727,0,54077,A,Lectura,46,507,1,,3,11,8
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,SALINAS,237727,0,54077,A,Matemática,46,520,1,2,2,7,12
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,SALINAS,237727,0,54077,B,Lectura,46,416,1,,15,8,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,E,Matemática,169,459,1,4,9,11,6
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,B,Lectura,169,466,1,1,9,10,7
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,B,Matemática,169,462,1,5,6,9,7
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,A,Lectura,169,489,1,,9,12,7
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,C,Lectura,169,482,1,,10,11,7
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,F,Lectura,169,490,1,1,5,13,8
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,C,Matemática,169,462,1,3,7,10,8
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,A,Matemática,169,489,1,2,3,14,9
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,E,Lectura,169,473,1,,14,7,9
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,F,Matemática,169,488,1,2,4,10,11
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,D,Matemática,169,510,1,1,4,12,12
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,237735,0,54078,D,Lectura,169,537,1,,5,9,15
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,C,Lectura,75,455,1,,5,10,1
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,A,Lectura,75,437,1,2,10,7,2
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,B,Lectura,75,461,1,,11,8,3
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,A,Matemática,75,440,1,2,9,6,4
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,B,Matemática,75,446,1,2,8,8,4
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,C,Matemática,75,431,1,1,5,10,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,D,Lectura,75,401,1,2,12,2,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30220,APURÍMAC,ANDAHUAYLAS,JOSÉ MARÍA ARGUEDAS,HUANCABAMBA,237750,0,54080,D,Matemática,75,346,1,10,6,,
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237792,0,54084,A,Lectura,17,506,1,,3,8,6
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237792,0,54084,A,Matemática,17,539,1,,2,6,9
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237800,0,54085,B,Matemática,18,453,1,1,1,2,1
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237800,0,54085,A,Lectura,18,466,1,,4,7,2
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237800,0,54085,A,Matemática,18,495,1,1,1,7,4
2024,ECE 2024,Primaria,CUARTO,UGEL Huancarama,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30204,APURÍMAC,ANDAHUAYLAS,HUANCARAMA,HUANCARAMA,237800,0,54085,B,Lectura,18,438,1,,2,3,
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30209,APURÍMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,237909,0,54095,B,Lectura,45,449,1,,9,11,1
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30209,APURÍMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,237909,0,54095,B,Matemática,45,418,1,2,10,7,2
2024,ECE 2024,Primaria,CUARTO,UGEL Andahuaylas,ESTATAL,RURAL,POLIDOCENTE COMPLETA,30209,APURÍMAC,ANDAHUAYLAS,PACUCHA,PACUCHA,237909,0,54095,A,Matemática,45,470,1,1,4,14,4
